context,layer,n_prompts,n_utterances,mean_similarity,std_similarity,max_similarity,min_similarity
grateful,7,100,100,0.9883702908015173,0.011648244344458299,0.9993474177752224,0.9046063759880341
grateful,8,100,100,0.9853626735467289,0.014470341379522281,0.9991549164437631,0.882799063530397
grateful,9,100,100,0.9837219561261269,0.016195311569800787,0.9991283204481587,0.8701716242056741
grateful,10,100,100,0.9818700452449394,0.018368490975842703,0.9991288804921046,0.8553456230437102
grateful,11,100,100,0.9824231959560148,0.01780294484839961,0.9991540429713326,0.861498105930171
grateful,12,100,100,0.9765557999350147,0.024255850686644348,0.9988362121408512,0.8033616933892458
grateful,13,100,100,0.9738403239494184,0.026623906641753268,0.9987216437234072,0.7859696948755739
grateful,14,100,100,0.9698873736186157,0.02991168758856332,0.9985169105857054,0.7594439752218731
grateful,15,100,100,0.9614203873943714,0.035751936379761325,0.9980538061787751,0.7169955111578568
grateful,16,100,100,0.9543691048076722,0.039242606410714455,0.9976728012075883,0.699860397969418
grateful,17,100,100,0.9483779583654288,0.04234817511769462,0.9971375470705433,0.6750766281789666
grateful,18,100,100,0.9454314226560339,0.04280552379137892,0.9967772038389777,0.6677762394145088
grateful,19,100,100,0.9411405092031137,0.044563221848934555,0.9963433473534113,0.6503115980325807
grateful,20,100,100,0.9286446305316682,0.05067692732268426,0.9952710331373955,0.6160124592366617
grateful,21,100,100,0.9201981191795214,0.05370301692942348,0.9945498866223913,0.5948695651033038
grateful,22,100,100,0.9155193244431313,0.054039306781828916,0.99379193177494,0.58626467764155
grateful,23,100,100,0.911169133906682,0.05410412595758787,0.9929581685859374,0.5832031886752762
grateful,24,100,100,0.9078154076034912,0.05260387730593593,0.992217433974092,0.5876357281579365
grateful,25,100,100,0.901599174643169,0.053645359055561545,0.9913362945025158,0.5781264034205587
grateful,26,100,100,0.8898453037589863,0.056211487091749064,0.990111622056973,0.5753687974149129
grateful,27,100,100,0.8704329104783285,0.0623287590422084,0.9874015621615968,0.5316281589796438
grateful,28,100,100,0.8081186060068762,0.05106714401192896,0.956512295817015,0.5829886793026076
hopeful,0,100,100,0.5373157003207452,0.13231050303339412,0.8351414989117947,-0.11435376569870619
hopeful,1,100,100,0.8828104465307582,0.05460194773468748,0.9802799425940952,0.49695512184914314
hopeful,2,100,100,0.9991433330476819,0.0007588154058133692,0.9999047512167369,0.9940151559106318
hopeful,3,100,100,0.9981596960680909,0.0015735349512030665,0.999782444516382,0.9878170518977882
hopeful,4,100,100,0.996411933218975,0.002839232646997939,0.9996754572262812,0.9790280453241682
hopeful,5,100,100,0.9946485553437698,0.004099276636286957,0.9995297246911572,0.9700251398022739
hopeful,6,100,100,0.9931617244274328,0.005409029222598236,0.9993964644444314,0.9596330851787281
hopeful,7,100,100,0.9917325496035899,0.006210188485078239,0.9992810410332957,0.956434502259934
hopeful,8,100,100,0.9896022008519163,0.007836687106545158,0.9992439942809925,0.945860395349689
hopeful,9,100,100,0.9883127977052393,0.009114914638595251,0.9992488556162948,0.9347795325076437
hopeful,10,100,100,0.9870885192213343,0.010314601743651815,0.9992128830624242,0.9255517084871735
hopeful,11,100,100,0.9875305274227821,0.009777011892341262,0.9992193992557137,0.9287931885796772
hopeful,12,100,100,0.9832594811054504,0.013894280329739318,0.9992022723014465,0.8890590210076024
hopeful,13,100,100,0.9812704826160279,0.015376692095699447,0.9991358986952699,0.88126408105908
